strategy,wins,losses,draws
"[[2.0, 18.0, 2.0], [17.0, 22.0, 17.0], [2.0, 18.0, 2.0]]",4121,1011,216
"[[2.0, 2.0, 2.0], [2.0, 21.0, 20.0], [17.0, 17.0, 17.0]]",4081,872,395
"[[3.0, 3.0, 22.0], [21.0, 21.0, 12.0], [12.0, 3.0, 3.0]]",4017,993,338
"[[4.0, 15.0, 4.0], [15.0, 25.0, 15.0], [4.0, 15.0, 3.0]]",3974,1029,345
"[[17.0, 2.0, 17.0], [2.0, 24.0, 2.0], [17.0, 2.0, 17.0]]",3968,1196,184
"[[3.0, 12.0, 21.0], [13.0, 21.0, 3.0], [3.0, 3.0, 21.0]]",3967,948,433
"[[2.0, 21.0, 3.0], [12.0, 21.0, 12.0], [4.0, 21.0, 4.0]]",3938,941,469
"[[21.0, 2.0, 15.0], [1.0, 21.0, 2.0], [15.0, 2.0, 21.0]]",3900,980,468
"[[22.0, 22.0, 3.0], [15.0, 2.0, 15.0], [3.0, 15.0, 3.0]]",3893,1137,318
"[[1.0, 1.0, 20.0], [21.0, 21.0, 21.0], [13.0, 1.0, 1.0]]",3875,1046,427
"[[1.0, 1.0, 1.0], [1.0, 21.0, 21.0], [21.0, 12.0, 21.0]]",3872,987,489
"[[1.0, 17.0, 17.0], [17.0, 22.0, 23.0], [1.0, 1.0, 1.0]]",3871,1137,340
"[[1.0, 1.0, 21.0], [21.0, 1.0, 21.0], [1.0, 12.0, 21.0]]",3854,981,513
"[[1.0, 1.0, 21.0], [1.0, 21.0, 21.0], [21.0, 12.0, 1.0]]",3853,988,507
"[[1.0, 1.0, 1.0], [21.0, 21.0, 21.0], [21.0, 12.0, 1.0]]",3851,983,514
"[[22.0, 15.0, 22.0], [15.0, 2.0, 15.0], [3.0, 3.0, 3.0]]",3842,1227,279
"[[1.0, 23.0, 1.0], [13.0, 23.0, 13.0], [1.0, 23.0, 2.0]]",3837,1146,365
"[[22.0, 13.0, 2.0], [1.0, 22.0, 13.0], [2.0, 3.0, 22.0]]",3834,1166,348
"[[1.0, 21.0, 1.0], [21.0, 21.0, 21.0], [1.0, 12.0, 1.0]]",3830,1028,490
"[[1.0, 21.0, 1.0], [21.0, 21.0, 21.0], [1.0, 12.0, 1.0]]",3830,1028,490
"[[1.0, 21.0, 1.0], [21.0, 21.0, 21.0], [1.0, 12.0, 1.0]]",3830,1028,490
"[[2.0, 2.0, 2.0], [20.0, 20.0, 20.0], [20.0, 12.0, 2.0]]",3813,949,586
"[[1.0, 1.0, 1.0], [21.0, 21.0, 21.0], [1.0, 12.0, 21.0]]",3812,991,545
"[[1.0, 1.0, 1.0], [21.0, 21.0, 21.0], [1.0, 12.0, 21.0]]",3812,991,545
"[[16.0, 21.0, 22.0], [1.0, 1.0, 21.0], [1.0, 1.0, 16.0]]",3812,1131,405
"[[2.0, 19.0, 2.0], [20.0, 21.0, 12.0], [1.0, 21.0, 2.0]]",3810,972,566
"[[1.0, 12.0, 1.0], [21.0, 21.0, 21.0], [21.0, 1.0, 1.0]]",3793,1052,503
"[[3.0, 15.0, 2.0], [15.0, 30.0, 15.0], [2.0, 15.0, 3.0]]",3786,1225,337
